Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DI.room101.故障停用","V0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room101.试验占用","V0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room101.预留设备1","V0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room101.预留设备2","V0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room102.对托台设备","V0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room102.故障停用","V0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room102.试验占用","V0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room102.水冷机组设备","V0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room103.故障停用","V1.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room103.环境仓设备","V1.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room103.试验占用","V1.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room103.水冷机组设备","V1.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room105.对托台设备","V3.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room105.故障停用","V3.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room105.试验占用","V3.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room105.水冷机组设备","V3.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room106.对托台设备","V3.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room106.故障停用","V3.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room106.试验占用","V3.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room106.水冷机组设备","V3.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room107.对托台设备","V4.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room107.故障停用","V4.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room107.环境仓设备","V4.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room107.试验占用","V4.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room107.水冷机组设备","V4.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room108.对托台设备","V4.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room108.故障停用","V4.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room108.环境仓设备","V5.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room108.试验占用","V4.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room108.水冷机组设备","V5.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room109.对托台设备","V5.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room109.故障停用","V5.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room109.环境仓1设备","V5.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room109.环境仓2设备","V5.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room109.试验占用","V5.2",Boolean,1,R/W,100,,,,,,,,,,"",
